Hora,Precio,Volumen
25-02-2019 12:27:02,131.45,5.0
25-02-2019 12:27:07,130.55,50.0
25-02-2019 12:27:36,130.75,600.0
25-02-2019 12:27:57,130.75,400.0
25-02-2019 12:29:15,130.8,5000.0
25-02-2019 12:29:15,130.8,3000.0
25-02-2019 12:29:21,130.75,4945.0
25-02-2019 12:29:53,130.8,8000.0
25-02-2019 12:31:25,130.5,1214.0
25-02-2019 12:31:25,130.55,5000.0
25-02-2019 12:31:25,130.6,400.0
25-02-2019 12:31:25,130.6,2000.0
25-02-2019 12:34:41,130.6,540.0
25-02-2019 12:36:12,131.0,2000.0
25-02-2019 12:37:58,130.95,10000.0
25-02-2019 12:39:19,131.0,140.0
25-02-2019 12:39:26,131.0,165.0
25-02-2019 12:42:11,131.4,100.0
25-02-2019 12:42:56,131.4,1900.0
25-02-2019 12:44:17,131.5,7.0
25-02-2019 12:44:18,131.5,7.0
25-02-2019 12:44:41,131.5,9972.0
25-02-2019 12:46:03,131.5,7.0
25-02-2019 12:46:03,131.5,7.0
25-02-2019 12:47:41,131.5,241.0
25-02-2019 12:47:41,131.5,59.0
25-02-2019 12:50:47,131.7,540.0
25-02-2019 12:52:44,131.75,200.0
25-02-2019 12:52:45,131.75,37.0
25-02-2019 12:52:50,131.7,5000.0
25-02-2019 12:52:50,131.7,1460.0
25-02-2019 12:53:58,131.5,59.0
25-02-2019 12:53:58,131.6,50.0
25-02-2019 12:53:59,131.5,343.0
25-02-2019 12:58:23,131.7,20.0
25-02-2019 12:58:23,131.75,50.0
25-02-2019 12:59:02,132.0,500.0
25-02-2019 12:59:59,131.7,300.0
25-02-2019 13:01:33,132.0,20.0
25-02-2019 13:01:39,132.0,2830.0
25-02-2019 13:01:42,132.0,7.0
25-02-2019 13:01:42,132.0,2150.0
25-02-2019 13:01:43,132.0,7.0
25-02-2019 13:01:44,132.0,7.0
25-02-2019 13:02:56,132.2,68.0
25-02-2019 13:02:56,132.2,232.0
25-02-2019 13:03:25,132.0,822.0
25-02-2019 13:03:25,132.0,822.0
25-02-2019 13:04:28,131.9,60.0
25-02-2019 13:04:28,131.9,4400.0
25-02-2019 13:04:38,131.8,1000.0
25-02-2019 13:04:42,131.8,4000.0
25-02-2019 13:04:50,131.7,300.0
25-02-2019 13:05:25,131.8,1000.0
25-02-2019 13:07:58,131.7,4552.0
25-02-2019 13:07:58,131.7,4552.0
25-02-2019 13:07:58,131.7,380.0
25-02-2019 13:08:03,131.7,448.0
25-02-2019 13:08:32,131.55,5000.0
25-02-2019 13:08:49,131.5,2.0
25-02-2019 13:09:17,131.7,1552.0
25-02-2019 13:11:29,131.7,178.0
25-02-2019 13:11:40,131.7,270.0
25-02-2019 13:11:50,131.5,2939.0
25-02-2019 13:11:50,131.5,61.0
25-02-2019 13:11:56,131.5,61.0
25-02-2019 13:12:05,131.4,213.0
25-02-2019 13:12:10,131.25,9000.0
25-02-2019 13:12:10,131.25,4761.0
25-02-2019 13:12:26,131.2,2000.0
25-02-2019 13:12:26,131.2,500.0
25-02-2019 13:12:38,131.25,3000.0
25-02-2019 13:13:47,131.25,4775.0
25-02-2019 13:13:47,131.25,4775.0
25-02-2019 13:13:51,131.1,100.0
25-02-2019 13:14:37,131.25,114.0
25-02-2019 13:14:38,131.25,114.0
25-02-2019 13:15:31,131.0,1300.0
25-02-2019 13:15:31,131.0,1000.0
25-02-2019 13:15:31,131.0,35.0
25-02-2019 13:15:31,131.05,3000.0
25-02-2019 13:15:31,131.1,2000.0
25-02-2019 13:15:48,130.95,4.0
25-02-2019 13:16:04,131.0,700.0
25-02-2019 13:16:09,131.25,25.0
25-02-2019 13:20:19,131.0,5000.0
25-02-2019 13:20:19,131.0,400.0
25-02-2019 13:20:19,131.0,300.0
25-02-2019 13:20:53,131.25,300.0
25-02-2019 13:22:15,131.0,500.0
25-02-2019 13:22:42,130.95,14.0
25-02-2019 13:26:26,130.8,180.0
25-02-2019 13:28:55,130.8,50.0
25-02-2019 13:28:55,130.8,10.0
25-02-2019 13:29:03,130.95,935.0
25-02-2019 13:29:44,130.6,2000.0
25-02-2019 13:29:47,130.55,5000.0
25-02-2019 13:29:52,130.5,4948.0
25-02-2019 13:29:52,130.5,22.0
25-02-2019 13:29:52,130.5,20.0
25-02-2019 13:31:25,130.55,2000.0
25-02-2019 13:33:18,130.55,1500.0
25-02-2019 13:34:27,130.5,52.0
25-02-2019 13:34:28,130.5,600.0
25-02-2019 13:35:01,130.5,168.0
25-02-2019 13:37:28,130.5,1000.0
25-02-2019 13:37:28,130.5,832.0
25-02-2019 13:37:51,130.75,100.0
25-02-2019 13:39:00,130.5,40.0
25-02-2019 13:40:44,130.55,7.0
25-02-2019 13:40:46,130.55,7.0
25-02-2019 13:40:47,130.55,7.0
25-02-2019 13:40:48,130.55,7.0
25-02-2019 13:40:49,130.55,7.0
25-02-2019 13:40:50,130.55,7.0
25-02-2019 13:40:52,130.55,7.0
25-02-2019 13:40:55,130.55,7.0
25-02-2019 13:40:56,130.55,7.0
25-02-2019 13:40:57,130.55,7.0
25-02-2019 13:40:58,130.55,7.0
25-02-2019 13:40:59,130.55,7.0
25-02-2019 13:40:59,130.55,7.0
25-02-2019 13:42:29,130.6,10.0
25-02-2019 13:43:08,130.6,400.0
25-02-2019 13:43:08,130.6,300.0
25-02-2019 13:43:23,130.6,190.0
25-02-2019 13:45:25,130.55,195.0
25-02-2019 13:56:43,130.6,23.0
25-02-2019 13:57:17,130.6,376.0
25-02-2019 14:01:15,130.75,29.0
25-02-2019 14:01:35,130.6,725.0
25-02-2019 14:01:35,130.6,366.0
25-02-2019 14:01:47,130.55,108.0
25-02-2019 14:01:47,130.55,772.0
25-02-2019 14:04:59,130.6,10.0
25-02-2019 14:09:14,130.7,1.0
25-02-2019 14:09:28,130.8,266.0
25-02-2019 14:09:46,130.6,44.0
25-02-2019 14:10:38,130.8,234.0
25-02-2019 14:12:20,130.8,234.0
25-02-2019 14:12:20,130.8,500.0
25-02-2019 14:12:21,130.8,234.0
25-02-2019 14:12:52,130.8,5266.0
25-02-2019 14:14:56,131.0,23.0
25-02-2019 14:14:57,131.0,500.0
25-02-2019 14:15:12,131.0,4.0
25-02-2019 14:15:37,131.15,151.0
25-02-2019 14:16:31,131.0,24.0
25-02-2019 14:18:07,131.15,150.0
25-02-2019 14:19:43,131.0,7.0
